species	sample_key	GTDB_214	sample	element_symbol	element_name	source
anginosus	NA	NA	SAMN39507718	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507718	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507719	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507719	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507722	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507722	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507723	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507723	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507723	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507723	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507724	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507725	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507726	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507726	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507727	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507727	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507728	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507729	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507730	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507730	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507730	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507730	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN42334614	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN42334614	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN42334615	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN42334616	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN42334617	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN43302819	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN43302820	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN43302820	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN43302821	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN47264449	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN47264449	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN47264449	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN47264449	blaTEM-116	broad-spectrum class A beta-lactamase TEM-116	atb
anginosus	NA	NA	SAMEA104042167	NA	NA	atb
anginosus	NA	NA	SAMEA104042168	NA	NA	atb
anginosus	NA	NA	SAMEA104042169	NA	NA	atb
anginosus	NA	NA	SAMEA104042172	NA	NA	atb
anginosus	NA	NA	SAMEA104055225	NA	NA	atb
anginosus	NA	NA	SAMEA104055226	NA	NA	atb
anginosus	NA	NA	SAMEA104055228	NA	NA	atb
anginosus	NA	NA	SAMEA104055229	NA	NA	atb
anginosus	NA	NA	SAMEA104055302	NA	NA	atb
anginosus	NA	NA	SAMEA104428578	NA	NA	atb
anginosus	NA	NA	SAMEA111504470	NA	NA	atb
anginosus	NA	NA	SAMEA111506406	NA	NA	atb
anginosus	NA	NA	SAMEA112750615	NA	NA	atb
anginosus	NA	NA	SAMEA114241914	NA	NA	atb
anginosus	NA	NA	SAMEA114309377	NA	NA	atb
anginosus	NA	NA	SAMEA2437857	NA	NA	atb
anginosus	NA	NA	SAMEA3882160	NA	NA	atb
anginosus	NA	NA	SAMEA3882167	NA	NA	atb
anginosus	NA	NA	SAMEA6623500	NA	NA	atb
anginosus	NA	NA	SAMEA6623505	NA	NA	atb
anginosus	NA	NA	SAMEA6623512	NA	NA	atb
anginosus	NA	NA	SAMEA9956639	NA	NA	atb
anginosus	NA	NA	SAMN02441718	NA	NA	atb
anginosus	NA	NA	SAMN03197043	NA	NA	atb
anginosus	NA	NA	SAMN03198039	NA	NA	atb
anginosus	NA	NA	SAMN04480053	NA	NA	atb
anginosus	NA	NA	SAMN06624126	NA	NA	atb
anginosus	NA	NA	SAMN12797000	NA	NA	atb
anginosus	NA	NA	SAMN19595174	NA	NA	atb
anginosus	NA	NA	SAMN20399902	NA	NA	atb
anginosus	NA	NA	SAMN20399903	NA	NA	atb
anginosus	NA	NA	SAMN22091666	NA	NA	atb
anginosus	NA	NA	SAMN26876585	NA	NA	atb
anginosus	NA	NA	SAMN31407743	NA	NA	atb
anginosus	NA	NA	SAMN41336369	NA	NA	atb
anginosus	NA	NA	SAMN41337658	NA	NA	atb
anginosus_C	52a	anginosus_C	52a	NA	NA	rmarvig
anginosus_C	62ca	anginosus_C	062Ca-CMPN001x06_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus_C	74ca	anginosus_C	074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus_C	74ca	anginosus_C	074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
anginosus_C	110ca	anginosus_C	110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
anginosus_C	110ca	anginosus_C	110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus_C	131ca	anginosus_C	131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus_C	131ca	anginosus_C	131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
anginosus_C	140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	rmarvig
anginosus_C	140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
anginosus_C	140ca	anginosus_C	140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
anginosus_C	NA	NA	SAMN02344616	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN02344616	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus_C	NA	NA	SAMN02344616	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus_C	NA	NA	SAMN02344618	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN02344618	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN03197009	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN03197009	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN03197756	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus_C	NA	NA	SAMN03197756	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus_C	NA	NA	SAMN04477579	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus_C	NA	NA	SAMN04477579	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus_C	NA	NA	SAMN04477579	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN04477598	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN04498868	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
anginosus_C	NA	NA	SAMN12797013	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN12797013	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN16357499	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN16357499	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN26876561	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN26876561	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN26876571	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN26876608	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
anginosus_C	NA	NA	SAMN38159159	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN38159160	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN38159160	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN38159165	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN38159168	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN38159169	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus_C	NA	NA	SAMN41329048	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMN41329048	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus_C	NA	NA	SAMN41329048	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
anginosus_C	NA	NA	SAMN42334624	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus_C	NA	NA	SAMEA104042164	NA	NA	atb
anginosus_C	NA	NA	SAMEA104042166	NA	NA	atb
anginosus_C	NA	NA	SAMEA104042170	NA	NA	atb
anginosus_C	NA	NA	SAMEA104055239	NA	NA	atb
anginosus_C	NA	NA	SAMEA104055296	NA	NA	atb
anginosus_C	NA	NA	SAMEA104055299	NA	NA	atb
anginosus_C	NA	NA	SAMEA104055301	NA	NA	atb
anginosus_C	NA	NA	SAMEA104113803	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151681	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151682	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151683	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151684	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151685	NA	NA	atb
anginosus_C	NA	NA	SAMEA104151687	NA	NA	atb
anginosus_C	NA	NA	SAMEA111503390	NA	NA	atb
anginosus_C	NA	NA	SAMEA111504209	NA	NA	atb
anginosus_C	NA	NA	SAMEA111504210	NA	NA	atb
anginosus_C	NA	NA	SAMEA111506123	NA	NA	atb
anginosus_C	NA	NA	SAMEA114309819	NA	NA	atb
anginosus_C	NA	NA	SAMEA115092739	NA	NA	atb
anginosus_C	NA	NA	SAMEA3882087	NA	NA	atb
anginosus_C	NA	NA	SAMEA3882155	NA	NA	atb
anginosus_C	NA	NA	SAMEA3882162	NA	NA	atb
anginosus_C	NA	NA	SAMEA5390898	NA	NA	atb
anginosus_C	NA	NA	SAMEA6100929	NA	NA	atb
anginosus_C	NA	NA	SAMEA6658042	NA	NA	atb
anginosus_C	NA	NA	SAMN00829139	NA	NA	atb
anginosus_C	NA	NA	SAMN02344614	NA	NA	atb
anginosus_C	NA	NA	SAMN02344615	NA	NA	atb
anginosus_C	NA	NA	SAMN20983295	NA	NA	atb
anginosus_C	NA	NA	SAMN26876564	NA	NA	atb
anginosus_C	NA	NA	SAMN26876570	NA	NA	atb
anginosus_C	NA	NA	SAMN26876605	NA	NA	atb
anginosus_C	NA	NA	SAMN38159161	NA	NA	atb
anginosus_C	NA	NA	SAMN38159162	NA	NA	atb
anginosus_C	NA	NA	SAMN38159163	NA	NA	atb
anginosus_C	NA	NA	SAMN38159164	NA	NA	atb
anginosus_C	NA	NA	SAMN38159166	NA	NA	atb
anginosus_C	NA	NA	SAMN38159167	NA	NA	atb
anginosus_C	NA	NA	SAMN41328252	NA	NA	atb
anginosus_C	NA	NA	SAMN41330538	NA	NA	atb
anginosus_C	NA	NA	SAMN41330562	NA	NA	atb
anginosus_C	NA	NA	SAMN41337737	NA	NA	atb
anginosus_C	NA	NA	SAMN44238611	NA	NA	atb
anginosus_C	NA	NA	SAMN44238612	NA	NA	atb
anginosus_C	NA	NA	SAMN45053978	NA	NA	atb
constellatus	149cc	constellatus	149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
constellatus	149cc	constellatus	149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
constellatus	NA	NA	SAMEA104151627	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA104151628	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA104151629	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA104151646	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
constellatus	NA	NA	SAMEA3882157	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA4362457	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA4362483	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA4362490	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA5390780	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA5390783	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMEA6100937	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
constellatus	NA	NA	SAMEA9956576	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	atb
constellatus	NA	NA	SAMN00761792	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMN26876598	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
constellatus	NA	NA	SAMN26876598	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
constellatus	NA	NA	SAMN26876598	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
constellatus	NA	NA	SAMN26876598	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMN26876601	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
constellatus	NA	NA	SAMN26876601	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
constellatus	NA	NA	SAMD00009213	NA	NA	atb
constellatus	NA	NA	SAMD00011649	NA	NA	atb
constellatus	NA	NA	SAMD00016355	NA	NA	atb
constellatus	NA	NA	SAMEA104055223	NA	NA	atb
constellatus	NA	NA	SAMEA104055252	NA	NA	atb
constellatus	NA	NA	SAMEA104138643	NA	NA	atb
constellatus	NA	NA	SAMEA104151631	NA	NA	atb
constellatus	NA	NA	SAMEA104151632	NA	NA	atb
constellatus	NA	NA	SAMEA104151633	NA	NA	atb
constellatus	NA	NA	SAMEA104151645	NA	NA	atb
constellatus	NA	NA	SAMEA111505288	NA	NA	atb
constellatus	NA	NA	SAMEA111506111	NA	NA	atb
constellatus	NA	NA	SAMEA3882096	NA	NA	atb
constellatus	NA	NA	SAMEA3882098	NA	NA	atb
constellatus	NA	NA	SAMEA3882159	NA	NA	atb
constellatus	NA	NA	SAMEA3882165	NA	NA	atb
constellatus	NA	NA	SAMEA3882166	NA	NA	atb
constellatus	NA	NA	SAMEA4930002	NA	NA	atb
constellatus	NA	NA	SAMEA6657698	NA	NA	atb
constellatus	NA	NA	SAMEA8243636	NA	NA	atb
constellatus	NA	NA	SAMN02344620	NA	NA	atb
constellatus	NA	NA	SAMN03197507	NA	NA	atb
constellatus	NA	NA	SAMN03197994	NA	NA	atb
constellatus	NA	NA	SAMN03198143	NA	NA	atb
constellatus	NA	NA	SAMN03996291	NA	NA	atb
constellatus	NA	NA	SAMN04480386	NA	NA	atb
constellatus	NA	NA	SAMN04495797	NA	NA	atb
constellatus	NA	NA	SAMN16357184	NA	NA	atb
constellatus	NA	NA	SAMN20983296	NA	NA	atb
constellatus	NA	NA	SAMN26876578	NA	NA	atb
constellatus	NA	NA	SAMN26876597	NA	NA	atb
cristatus	105cc	cristatus	105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
cristatus	105cc	cristatus	105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
cristatus	NA	NA	SAMEA104113816	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
cristatus	NA	NA	SAMEA104113818	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
cristatus	NA	NA	SAMEA104113819	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
cristatus	NA	NA	SAMEA104113819	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
cristatus	NA	NA	SAMEA104113820	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA104113820	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA112143520	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA112143520	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA112143522	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA112143522	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA112654020	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA112654020	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA114552411	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA114552411	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA115606578	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA115606578	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA117078776	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMEA117078776	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMEA2554088	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
cristatus	NA	NA	SAMN03196976	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMN03196976	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMN03196977	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMN03196977	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMN09631690	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	atb
cristatus	NA	NA	SAMN09631691	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
cristatus	NA	NA	SAMN09631691	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
cristatus	NA	NA	SAMN26876528	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
cristatus	NA	NA	SAMN26876528	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
cristatus	NA	NA	SAMEA104138658	NA	NA	atb
cristatus	NA	NA	SAMEA114593531	NA	NA	atb
cristatus	NA	NA	SAMEA114631780	NA	NA	atb
cristatus	NA	NA	SAMEA5192287	NA	NA	atb
cristatus	NA	NA	SAMEA5390761	NA	NA	atb
cristatus	NA	NA	SAMEA5390762	NA	NA	atb
cristatus	NA	NA	SAMN09631689	NA	NA	atb
cristatus	NA	NA	SAMN11268214	NA	NA	atb
cristatus	NA	NA	SAMN17729918	NA	NA	atb
gordonii	68g	gordonii	68g	NA	NA	rmarvig
gordonii	106g	gordonii	106g	NA	NA	rmarvig
gordonii	42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
gordonii	42cg	gordonii	042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
gordonii	83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	rmarvig
gordonii	83cg	gordonii	083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	rmarvig
gordonii	NA	NA	SAMEA3882114	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA3882114	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA3919118	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	atb
gordonii	NA	NA	SAMEA4929458	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA4929458	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA5192251	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA5192251	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA5192252	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA5192252	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA5192253	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA5192253	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA5192262	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMEA5192262	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
gordonii	NA	NA	SAMEA5192264	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMEA5192265	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMEA5192265	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA5192266	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMEA5390902	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMEA5390913	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN03197981	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN04477596	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN04477596	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN04477596	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN04875583	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN04875583	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN09631702	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN09631702	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN09631706	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN09631706	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN09631706	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN09631709	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN09631709	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN09631713	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN09631713	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN09631714	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN09631714	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN20399913	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN20399913	catA	type A-9 chloramphenicol O-acetyltransferase	atb
gordonii	NA	NA	SAMN20399917	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
gordonii	NA	NA	SAMN20399917	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN23168443	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN23168443	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN23168443	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
gordonii	NA	NA	SAMN26876563	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN26876563	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN26876565	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN26876565	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMN26876579	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
gordonii	NA	NA	SAMN26876579	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
gordonii	NA	NA	SAMEA104055290	NA	NA	atb
gordonii	NA	NA	SAMEA104113794	NA	NA	atb
gordonii	NA	NA	SAMEA104138585	NA	NA	atb
gordonii	NA	NA	SAMEA104138586	NA	NA	atb
gordonii	NA	NA	SAMEA104138587	NA	NA	atb
